Слово;Часть речи;Частота;Перевод;Пример предложения (татарча)
табигый;ADJ;4120;естественный;Табигый ресурслар. (Природные ресурсы.)
таш;N;4119;камень;Таш авыр. (Камень тяжёлый.)
һәлак;N;4103;гибель;Һәлак булды. (Погиб.)
концерт;N;4102;концерт;Концерт матур булды. (Концерт был красивым.)
таныш;V;4087;знакомиться;Таныш булдык. (Мы познакомились.)
адәм;N;4083;человек (архаизм);Адәм хакы. (Права человека.)
тышкы;ADJ;4073;внешний;Тышкы көчләр. (Внешние силы.)
азык-төлек;N;4059;продукты;Азык-төлек сатып алдык. (Купили продукты.)
салым;N;4055;взнос;Салым түләү. (Оплата взноса.)
техник;N;4053;техник;Техник проблемалар. (Технические проблемы.)
урам;V;4050;бродить;Урамда йөри. (Бродит по улице.)
ага;N;4039;старший брат;Агам килде. (Старший брат пришёл.)
элемтә;N;4022;связь;Элемтә сакла. (Поддерживай связь.)
мәгълүм;ADJ;4015;известный;Мәгълүм факт. (Известный факт.)
хас;ADJ;4003;особый;Хас мөмкинлек. (Особая возможность.)
табигать;N;3962;природа;Табигать матур. (Природа красива.)
буын;N;3933;поколение;Яңа буын. (Новое поколение.)
сәясәт;N;3932;политика;Сәясәткә кызыксыну. (Интерес к политике.)
кабат;ADV;3932;снова;Кабат эшлик. (Сделаем снова.)
түгәрәк;N;3924;круг;Түгәрәк форма. (Круглая форма.)
еллык;N;3910;годовой;Еллык план. (Годовой план.)
кан;N;3900;кровь;Кан түгел. (Не кровь.)
болгар;N;3875;болгарин;Болгар тамашасы. (Болгарское зрелище.)
ишек;N;3873;дверь;Ишек ачык. (Дверь открыта.)
чыгу;N;3857;выход;Чыгу юлы. (Выходной путь.)
хөкем;N;3807;суд;Хөкем карары. (Судебное решение.)
тау;N;3797;гора;Тау биек. (Гора высокая.)
проект;N;3783;проект;Проект эшлибез. (Работаем над проектом.)
йөрәк;N;3781;сердце;Йөрәгем авырта. (Сердце болит.)
иптәш;N;3768;товарищ;Иптәшләр белән эшләдек. (Работали с товарищами.)
бәя;N;3751;цена;Бәя күтәрелде. (Цена выросла.)
чәй;N;3666;чай;Чәй эчәбез. (Пьём чай.)
соңрак;ADV;3662;позже;Соңрак килермен. (Приду позже.)
оешма;V;3618;организовываться;Оешма җитди. (Организация серьёзная.)
газ;N;3616;газ;Газ кулланабыз. (Используем газ.)
уен;N;3610;игра;Уен кызыклы. (Игра интересная.)
оста;N;3602;мастер;Оста куллар. (Руки мастера.)
кат;V;3586;входить;Кат кирәк. (Нужно войти.)
читтә;N;3574;за границей;Читтә яши. (Живёт за границей.)
вакыйга;N;3563;событие;Вакыйга зур. (Событие большое.)
риза;ADJ;3528;довольный;Риза калдым. (Остался доволен.)
быелгы;ADJ;3507;нынешний (разг.);Быелгы җылы. (Нынешний тёплый.)
ялгыз;N;3507;одинокий;Ялгыз кеше. (Одинокий человек.)
тәрҗемә;N;3487;перевод;Тәрҗемә ясыйм. (Делаю перевод.)
бердәнбер;N;3461;единственный;Бердәнбер мөмкинлек. (Единственная возможность.)
төн;N;3452;ночь;Төн карангы. (Ночь тёмная.)
туфан;PROP;3447;потоп (имя собств.);Туфан килде. (Пришёл потоп.)
былтыр;ADV;3447;в прошлом году;Былтыр яз салкын иде. (В прошлом году весна была холодной.)
төсле;N;3446;цветной;Төсле рәсем. (Цветной рисунок.)
төгәл;ADJ;3444;точный;Төгәл җавап. (Точный ответ.)
реклама;N;3429;реклама;Реклама күп. (Рекламы много.)
каршында;ADJ;3412;перед;Каршында утырдым. (Сел напротив.)
өлеш;N;3390;доля;Өлешем бик кечкенә. (Моя доля очень мала.)
басым;N;3387;давление;Басым югары. (Давление высокое.)
алачак;V;3383;возьмёт;Ул алачак. (Он возьмёт.)
шәхес;N;3379;личность;Шәхес мөһим. (Личность важна.)
тәрбия;N;3373;воспитание;Тәрбия яхшы. (Воспитание хорошее.)
капиталь;ADJ;3373;капитальный;Капиталь ремонт. (Капитальный ремонт.)
партия;N;3371;партия;Партия җыены. (Собрание партии.)
җиткән;ADJ;3360;достигший;Җиткән нәтиҗә. (Достигнутый результат.)
хәрәкәт;N;3343;движение;Хәрәкәт тиз. (Движение быстрое.)
ремонт;N;3341;ремонт;Ремонт бетердек. (Закончили ремонт.)
яр;N;3336;берег;Ярда утырдык. (Сели на берегу.)
драма;N;3327;драма;Драма кызыклы. (Драма интересная.)
балык;N;3326;рыба;Балык тотарга. (Ловить рыбу.)
метр;N;3316;метр;Метр җитми. (Метра не хватает.)
хөрмәт;N;3313;уважение;Хөрмәт күрсәт. (Прояви уважение.)
күбесе;N;3287;большинство;Күбесе риза. (Большинство согласно.)
бүтән;ADJ;3285;другой;Бүтән юлны сайла. (Выбери другой путь.)
административ;ADJ;3276;административный;Административ эш. (Административная работа.)
хан;N;3266;хан;Хан сарае. (Дворец хана.)
тиен;N;3250;копейка;Тиен җыйдык. (Накопили копейки.)
автомобиль;N;3247;автомобиль;Автомобиль сатып алдык. (Купили автомобиль.)
кызык;ADJ;3246;интересный;Кызык китап. (Интересная книга.)
башлангыч;ADJ;3242;начальный;Башлангыч дәрәҗә. (Начальный уровень.)
кичке;ADJ;3240;вечерний;Кичке аш. (Вечерняя еда.)
колхоз;N;3226;колхоз;Колхозда эшләдек. (Работали в колхозе.)
кайнар;ADJ;3220;источник;Кайнар суы салкын. (Родниковая вода холодная.)
шигъри;ADJ;3218;поэтический;Шигъри юллар. (Поэтические строки.)
полиция;N;3217;полиция;Полиция килде. (Полиция пришла.)
чишмә;N;3215;родник;Чишмә суы тәмле. (Родниковая вода вкусная.)
андагы;ADJ;3211;там находящийся;Андагы кеше. (Человек, находящийся там.)
саф;ADJ;3205;чистый;Саф һава. (Чистый воздух.)
шәп;ADJ;3195;отличный;Шәп эш! (Отличная работа!)
сәхнә;N;3194;сцена;Сәхнәдә уйнады. (Играл на сцене.)
электр;N;3181;электричество;Электр юк. (Нет электричества.)
ихлас;ADJ;3174;искренний;Ихлас сүзләр. (Искренние слова.)
эшлекле;N;3160;работник;Эшлекле җитәкче. (Работник-руководитель.)
чәчәк;N;3158;цветок;Чәчәкләр матур. (Цветы красивые.)
нәтиҗә;N;3146;результат;Нәтиҗә яхшы. (Результат хороший.)
әсәр;V;3136;произведение;Әсәр яздым. (Написал произведение.)
янгын;N;3128;пожар;Янгын сүнде. (Пожар потушили.)
фатир;N;3127;квартира;Фатир сатып алдык. (Купили квартиру.)
үрнәк;N;3104;пример;Үрнәк күрсәт. (Покажи пример.)
җәйге;ADJ;3104;летний;Җәйге көннәр. (Летние дни.)
беркайчан;ADV;3103;никогда;Беркайчан онытма. (Никогда не забывай.)
киресенчә;ADV;3082;наоборот;Киресенчә эшләде. (Сделал наоборот.)
як;N;3076;сторона;Як сайла. (Выбери сторону.)
шулкадәр;ADV;3067;настолько;Шулкадәр күп. (Настолько много.)
кунак;N;3064;гость;Кунак килде. (Пришёл гость.)
иҗади;ADJ;3056;творческий;Иҗади эш. (Творческая работа.)
профессор;N;3053;профессор;Профессор лекциясен тыңладык. (Слушали лекцию профессора.)
йомшак;ADJ;3034;мягкий;Йомшак туфли. (Мягкие тапочки.)
гадел;ADJ;3031;справедливый;Гадел хөкем. (Справедливый суд.)
фильм;N;3031;фильм;Фильм кызыклы. (Фильм интересный.)
зәңгәр;ADJ;3026;синий;Зәңгәр күк. (Синее небо.)
бәрәңге;N;3024;картофель;Бәрәңге пешердек. (Сварили картофель.)
физик;ADJ;3005;физический;Физик көч. (Физическая сила.)
интернет;N;3003;интернет;Интернет юк. (Нет интернета.)
дан;N;3002;слава;Дан казанырга. (Добиться славы.)
хуш;INTRJ;2998;привет;Хуш килдегез! (Добро пожаловать!)
тәүге;ADJ;2993;первый;Тәүге адым. (Первый шаг.)
тәэсир;N;2986;влияние;Тәэсир көчле. (Влияние сильное.)
күк;ADJ;2970;небесный;Күк төсе. (Небесный цвет.)
комиссия;N;2967;комиссия;Комиссия карары. (Решение комиссии.)
авыз;N;2966;рот;Авызны ябык. (Рот закрыт.)
урындагы;N;2961;местный;Урындагы халык. (Местное население.)
ата;V;2924;называть;Атаманы сайладык. (Выбрали название.)
вәгъдә;N;2918;обещание;Вәгъдә бирде. (Обещал.)
мал;N;2915;скот;Мал сатарга. (Продавать скот.)
кискен;ADJ;2907;резкий;Кискен тавыш. (Резкий звук.)
батыр;V;2897;герой;Батырлар сугышты. (Герои сражались.)
гарәп;N;2881;араб;Гарәп телен өйрәнәм. (Учу арабский язык.)
сирәк;ADJ;2880;редкий;Сирәк очраклар. (Редкие случаи.)
төр;N;2875;вид;Төрле төрләр. (Разные виды.)
нур;N;2868;свет;Нур җитми. (Света не хватает.)
ал;N;2865;брать/взять;Ал җылылык белән сөйләш. (Говори с теплотой.)
сыер;N;2857;корова;Сыер сөте файдалы. (Коровье молоко полезно.)
ышаныч;N;2855;доверие;Ышаныч төзәтү авыр. (Восстановить доверие сложно.)
язгы;ADJ;2854;весенний;Язгы көннәр җылы. (Весенние дни тёплые.)
үлем;N;2847;смерть;Үлем бәхетсезлек. (Смерть — это горе.)
минут;N;2846;минута;Минутлар тиз уза. (Минуты быстро проходят.)
гомум;N;2842;общее;Гомум күңелдән рәхмәт! (Спасибо от всего сердца!)
гаять;ADV;2842;очень;Гаять матур күләм. (Очень красивое озеро.)
кыен;ADJ;2841;сложный;Кыен булса да, эшлибез. (Даже если сложно, работаем.)
иртә;N;2838;утро;Иртә белән яхшы көн! (Доброе утро!)
иртәнге;ADJ;2838;утренний;Иртәнге чәй тәмле. (Утренний чай вкусный.)
вафат;N;2836;смерть;Вафатына җылыйбыз. (Скорбим о его смерти.)
калып;V;2833;оставаться;Калып калма, эшлә! (Не останавливайся, работай!)
гәҗит;N;2831;газета;Гәҗиттә яңалыклар укыйм. (Читаю новости в газете.)
каян;ADV;2816;откуда;Каян килдең? (Откуда ты пришёл?)
кыш;N;2790;зима;Кыш салкын була. (Зима бывает холодной.)
мулла;N;2789;мулла;Мулла догалар укый. (Мулла читает молитвы.)
техника;N;2782;техника;Техника үсеше тиз. (Развитие техники быстрое.)
эт;V;2779;делать/создавать;Эт җылы йорт. (Создай уютный дом.)
сәбәп;N;2747;причина;Сәбәбен беләсеңме? (Знаешь причину?)
академия;N;2746;академия;Академиягә керү авыр. (Поступление в академию сложное.)
күпләр;N;2741;многие;Күпләр моңа инана. (Многие верят в это.)
киңәш;V;2733;советовать;Киңәшләрең файдалы. (Твои советы полезны.)
моңарчы;ADV;2729;до сих пор;Моңарчы көттем. (Ждал до сих пор.)
ходай;N;2722;бог;Ходай ярдәм итсен. (Да поможет Бог.)
җәмәгатьчелек;N;2720;общественность;Җәмәгатьчелек реакциясе көчле. (Реакция общественности сильна.)
алла;N;2719;Аллах;Алла ярдәмчебез булсын. (Да поможет нам Аллах.)
түбәндәге;PROP;2717;нижеследующее;Түбәндәге мәсьәләне хәл итик. (Решим нижеследующий вопрос.)
кич;ADV;2712;вечер;Кич белән очрашыйк. (Встретимся вечером.)
предприятие;N;2712;предприятие;Предприятие җитештерү артты. (Производство предприятия выросло.)
сөйләшү;N;2704;обсуждение;Сөйләшү нәтиҗәле булды. (Обсуждение было результативным.)
газета;N;2704;газета;Газетада мәкалә бастырылды. (В газете опубликовали статью.)
максат;N;2702;цель;Максатың югары булсын. (Пусть твоя цель будет высокой.)
дус;N;2695;друг;Дуслар ярдәм итә. (Друзья помогают.)
карчык;N;2694;старуха;Карчык сөйләгән хикәя кызыклы. (История, рассказанная старухой, интересна.)
күпчелек;N;2689;большинство;Күпчелек карарны хуплый. (Большинство поддерживает решение.)
ярым;N;2681;половина;Ярым сәгатьтән соң киләм. (Приду через полчаса.)
иртән;ADV;2663;завтра утром;Иртән иртә торырмын. (Завтра утром встану рано.)
җил;N;2657;ветер;Җил көчле исә. (Ветер дует сильно.)
тәҗрибә;N;2641;опыт;Тәҗрибә тупларга кирәк. (Нужно накапливать опыт.)
канун;N;2637;закон;Канунны бозмаска тырыш. (Старайся не нарушать закон.)
ярашлы;ADJ;2635;подходящий;Ярашлы җавап таптык. (Нашли подходящий ответ.)
турыдан-туры;ADV;2616;прямо;Турыдан-туры сөйлә. (Говори прямо.)
мөхәррир;N;2612;редактор;Мөхәррир текстны тикшерде. (Редактор проверил текст.)
продукция;N;2608;продукция;Продукция сыйфаты югары. (Качество продукции высокое.)
бергәләп;ADV;2602;совместно;Бергәләп эшләгәннән файда күп. (Совместная работа приносит больше пользы.)
хуҗа;N;2595;хозяин;Хуҗа йортын саклый. (Хозяин охраняет свой дом.)
кызганыч;ADJ;2593;жалкий;Кызганыч хәл булды. (Произошла жалкая ситуация.)
туризм;N;2590;туризм;Туризм үсеше иркен. (Развитие туризма активное.)
диңгез;N;2588;море;Диңгез күк кебек зәңгәр. (Море синее, как небо.)
эшчәнлек;N;2580;деятельность;Эшчәнлек нәтиҗәле. (Деятельность результативна.)
пенсия;N;2580;пенсия;Пенсия күләме артты. (Размер пенсии увеличился.)
сыйныф;N;2579;класс;Сыйныфта тынычлык сакла. (Сохраняй спокойствие в классе.)
басма;N;2575;издание;Басма яңа китаплар чыгара. (Издание выпускает новые книги.)
тәртип;N;2574;порядок;Тәртипне сакларга кирәк. (Нужно соблюдать порядок.)
бизнес;N;2573;бизнес;Бизнес үстерү авыр. (Развивать бизнес сложно.)
тын;V;2570;молчать;Тын бул, сөйләмә. (Молчи, не говори.)
каләм;N;2568;ручка;Каләм белән язам. (Пишу ручкой.)
хис;N;2564;чувство;Хисләреңне җиңә ал. (Управляй своими чувствами.)
матди;ADJ;2553;материальный;Матди ярдәм кирәк. (Нужна материальная помощь.)
ныклы;ADJ;2551;прочный;Ныклы дустың булсын. (Пусть у тебя будет надёжный друг.)
алабуга;N;2551;Алабуга (город);Алабуга тарихи шәһәр. (Алабуга — исторический город.)
авыру;V;2549;болеть;Авыру вакытта ял ит. (Отдыхай, когда болеешь.)
патша;N;2548;царь;Патша гадел идарә итте. (Царь правил справедливо.)
сак;N;2540;беречь;Сак бул, куркыныч юк. (Будь осторожен, опасности нет.)
алдынгы;ADJ;2534;передний;Алдынгы рәттә утырдык. (Сели в переднем ряду.)
акыл;N;2531;ум;Акыл белән эшлә. (Действуй с умом.)
үлгән;V;2528;умереть;Үлгән кешене онытма. (Не забывай умерших.)
чибәр;ADJ;2520;красивый;Чибәр көн булды. (День был прекрасным.)
караңгы;ADJ;2520;тёмный;Караңгы бүлмәдә утырма. (Не сиди в тёмной комнате.)
конкурс;N;2511;конкурс;Конкурста җиңүче булдык. (Мы стали победителями в конкурсе.)
парламент;N;2506;парламент;Парламент карарын игълан иттеләр. (Объявили решение парламента.)
язмыш;N;2505;судьба;Язмышыңны үзең төзисең. (Судьбу создаёшь сам.)
хисап;N;2504;расчёт;Хисапны төгәл алып бар. (Веди расчёт точно.)
ихтимал;MOD;2502;вероятно;Ихтимал, яңгыр явар. (Вероятно, будет дождь.)
яңгыр;N;2502;дождь;Яңгыр җирне сугара. (Дождь поливает землю.)
җәй;N;2494;лето;Җәй көннәре озын. (Летние дни длинные.)
бераздан;ADV;2488;через некоторое время;Бераздан килермен. (Приду через некоторое время.)
бурыч;N;2487;долг;Бурычларыңны үтә. (Исполняй свои обязанности.)
журналист;N;2482;журналист;Журналист хәбәр язды. (Журналист написал новость.)
корбан;N;2481;жертва;Корбанлыкны ихтирам ит. (Уважай жертву.)
студент;N;2457;студент;Студентлар экзаменга әзерләнә. (Студенты готовятся к экзамену.)
көзге;N;2452;зеркало;Көзгедә үзеңне күрәсең. (В зеркале видишь себя.)
тыгыз;ADJ;2450;плотный;Тыгыз эш графигы бар. (Есть плотный график работы.)
милиция;N;2450;милиция;Милиция хезмәткәре килде. (Пришёл сотрудник милиции.)
һичшиксез;ADV;2449;безусловно;Һичшиксез, ул киләчәк. (Он придёт, безусловно.)
искиткеч;ADV;2439;удивительно;Искиткеч матур күләм. (Озеро удивительно красиво.)
гали;ADJ;2431;великий;Гали галимнәр истәлеге. (Память о великих учёных.)
комитет;N;2422;комитет;Комитет карарын игълан иттеләр. (Объявили решение комитета.)
бәян;N;2414;описание;Бәян ачык булсын. (Описание должно быть ясным.)
печән;N;2411;сено;Печән терәккә салынды. (Сено сложили в стог.)
телефон;N;2397;телефон;Телефон шалтырады. (Телефон зазвонил.)
гадәти;ADJ;2384;обычный;Гадәти көннәр узды. (Обычные дни прошли.)
канәгать;ADJ;2379;довольный;Канәгать бул, күптән сорама. (Будь доволен, не проси лишнего.)
директор;N;2364;директор;Директор җыелышны ачты. (Директор открыл собрание.)
ялган;V;2361;лгать;Ялган сөйләмә, дөресне әйт. (Не лги, говори правду.)
алсу;ADJ;2360;розовый;Алсу чәчәкләр ачылды. (Распустились розовые цветы.)
чак;N;2357;момент;Чак кына узды. (Момент только что прошёл.)
мәхрүм;ADJ;2356;лишённый;Мәхрүм булма, хакыңны якла. (Не будь лишённым, защищай свои права.)
бүлек;N;2353;отдел;Бүлек җитәкчесе килде. (Пришёл начальник отдела.)
депутат;N;2349;депутат;Депутат закон тәкъдим итте. (Депутат предложил закон.)
коръән;N;2345;Коран;Коръән уку файдалы. (Чтение Корана полезно.)
чор;N;2333;эпоха;Чор үзгәрүдә. (Эпоха меняется.)
аш;N;2331;еда;Аш тәмле булды. (Еда была вкусной.)
кытай;N;2325;Китай;Кытай зур илләрдән берсе. (Китай — одна из крупных стран.)
барс;N;2323;барс;Барс тиз йөгерә. (Барс бегает быстро.)
адым;N;2317;шаг;Адымнарыңны игътибарлы итеп җибәр. (Делай шаги осторожно.)
яман;V;2307;портить;Яман эшләрдән баш тарт. (Откажись от плохих дел.)
төрек;N;2302;турок;Төрек телен өйрәнәм. (Учу турецкий язык.)
әйбер;N;2300;вещь;Әйберне саклап куй. (Сохрани вещь.)
рәис;N;2297;председатель;Рәис җыелышны ачты. (Председатель открыл собрание.)
сәер;ADJ;2296;странный;Сәер тавышлар ишетелде. (Слышны странные звуки.)
тигез;ADJ;2293;ровный;Тигез юлда йөгерәк. (Беги по ровной дороге.)
педагогия;N;2289;педагогика;Педагогия фәне мөһим. (Педагогика — важная наука.)
тамашачы;N;2288;зритель;Тамашачылар күп җыелды. (Зрителей собралось много.)
гектар;N;2282;гектар;Җир мәйданы 5 гектар. (Площадь земли — 5 гектаров.)
җырчы;N;2280;певец;Җырчы тавышы матур. (У певца красивый голос.)
тәрәзә;N;2273;окно;Тәрәзә ачык калды. (Окно осталось открытым.)
кышкы;ADJ;2269;зимний;Кышкы салкыннар килә. (Приходят зимние холода.)
сабан;N;2262;плуг;Сабан белән җир сөрәләр. (Землю пашут плугом.)
теләк;N;2261;желание;Теләгеңне әйт. (Скажи своё желание.)
тулай;ADJ;2260;полный;Тулай ай ялтырады. (Полная луна светила.)
сер;N;2253;секрет;Серне саклый бел. (Умей хранить секрет.)
гаепле;ADJ;2250;виноватый;Гаепле кеше табылды. (Виноватый человек найден.)
икмәк;N;2241;хлеб;Икмәкнең исе килә. (Пахнет хлебом.)
спектакль;N;2235;спектакль;Спектакль кызыклы булды. (Спектакль был интересным.)
бүре;N;2232;волк;Бүре урманда яши. (Волк живёт в лесу.)
төнге;ADJ;2231;ночной;Төнге тынычлык сакланды. (Ночная тишина сохранилась.)
элеккеге;ADJ;2230;бывший;Элеккеге йорт юкка чыкты. (Бывший дом разрушился.)
ким;ADJ;2230;низкий;Ким түбәле йорт. (Дом с низкой крышей.)
дошман;N;2228;враг;Дошманнар чигендә. (Враги у границы.)
газиз;ADJ;2221;дорогой;Газиз дустыма хат яздым. (Написал письмо дорогому другу.)
тәмле;ADJ;2214;вкусный;Тәмле аш әзерләнде. (Приготовили вкусную еду.)
юридик;ADJ;2211;юридический;Юридик ярдәм кирәк. (Нужна юридическая помощь.)
солдат;N;2196;солдат;Солдат ватанны саклый. (Солдат защищает Родину.)
гаҗәп;N;2194;чудо;Гаҗәп вакыйга булды. (Произошло чудо.)
чакрым;N;2194;верста;Бер чакрым юл калды. (Осталась одна верста пути.)
мирас;N;2188;наследие;Мирасны сакларга кирәк. (Наследие нужно сохранять.)
уң;V;2186;правильный;Уң юлны сайладык. (Мы выбрали правильный путь.)
булат;N;2183;сталь;Булат ныклы материал. (Сталь — прочный материал.)
күркәм;N;2173;красивый;Күркәм табигать күренеше. (Красивое природное явление.)
йолдыз;N;2168;звезда;Йолдызлар ялтырады. (Звёзды сверкали.)
коры;ADJ;2156;сухой;Коры җил исә. (Дует сухой ветер.)
якынча;ADJ;2153;приблизительный;Якынча вакытны әйт. (Назови приблизительное время.)
ир-ат;N;2148;мужчина;Ир-ат җаваплылык алырга тиеш. (Мужчина должен брать ответственность.)
табиб;N;2143;врач;Табиб авыруны дәвалады. (Врач вылечил больного.)
караш;V;2142;смотреть;Карашларын җыю. (Собирает взгляды.)
инглиз;N;2138;англичанин;Инглиз телен өйрәнәм. (Учу английский язык.)
бию;V;2137;танцевать;Бию осталыгын күрсәт. (Покажи мастерство в танце.)
бина;N;2129;здание;Бина яңа төзелде. (Здание построено заново.)
күргәзмә;N;2128;выставка;Күргәзмәгә бару планлаштырабыз. (Планируем посетить выставку.)
берьюлы;ADV;2127;сразу;Берьюлы күп эшләр бар. (Есть много дел сразу.)
гашыйк;N;2127;влюблённый;Гашыйк йөрәге өчен көрәшә. (Влюблённый борется за своё сердце.)
музей;N;2125;музей;Музей тарихны саклый. (Музей хранит историю.)
нибары;ADV;2119;всего лишь;Нибары бер сәгать калды. (Осталось всего лишь час.)
ленин;N;2113;Ленин;Ленин идеяләре хәзерге заманга кадәр яши. (Идеи Ленина живут до сих пор.)
сәламәт;ADJ;2109;здоровый;Сәламәт тормыш алып барыгыз. (Ведите здоровый образ жизни.)
колак;N;2109;ухо;Колакларыңны саклый бел. (Умей беречь уши.)
зарур;ADJ;2107;необходимый;Зарур документларны әзерлә. (Подготовь необходимые документы.)
ятим;N;2107;сирота;Ятим балага ярдәм итегез. (Помогите сироте.)
проблема;N;2106;проблема;Проблеманы тизрәк хәл итегез. (Решите проблему быстрее.)
дистә;N;2103;десяток;Дистәгә якын кеше килде. (Пришло около десятка человек.)
көнчыгыш;N;2102;восток;Көнчыгышта кояш чыга. (На востоке восходит солнце.)
сары;ADJ;2100;жёлтый;Сары чәчәкләр ачылды. (Распустились жёлтые цветы.)
команда;N;2099;команда;Команда бердәм эшләде. (Команда работала слаженно.)
йөк;N;2098;груз;Йөкне өстәлгә куй. (Поставь груз на стол.)
сабыр;ADJ;2096;терпеливый;Сабыр бул, һәрнәрсә узачак. (Будь терпелив, всё пройдёт.)
ашлык;N;2091;зерно;Ашлыкны саклап тотырга кирәк. (Зерно нужно хранить.)
чиста;ADJ;2090;чистый;Чиста су эчәбез. (Пьём чистую воду.)
ләйсән;N;2085;Лейсен (имя);Ләйсән матур кыз. (Лейсен — красивая девушка.)
бакча;N;2085;сад;Бакчада чәчәкләр үсә. (В саду растут цветы.)
серия;N;2079;серия;Сериядә яңа фильм чыкты. (В серии вышел новый фильм.)
экология;N;2076;экология;Экологияне сакларга кирәк. (Нужно беречь экологию.)
үзидарә;N;2074;самоуправление;Үзидарә системасы эшли. (Система самоуправления работает.)
аллаһы;N;2070;Аллах;Аллаһы ярдәмчебез булсын. (Да поможет нам Аллах.)
документ;N;2065;документ;Документны имзалагыз. (Подпишите документ.)
табу;N;2060;находка;Табу безне шатландырды. (Находка обрадовала нас.)
премьер-министр;N;2060;премьер-министр;Премьер-министр сөйләде. (Премьер-министр выступил.)
кризис;N;2054;кризис;Кризис вакытында сабырлык кирәк. (Во время кризиса нужна выдержка.)
футбол;N;2049;футбол;Футбол матчы кызыклы булды. (Футбольный матч был интересным.)
тамаша;N;2046;зрелище;Тамаша күңел ача. (Зрелище радует душу.)
яшен;ADJ;2044;молния;Яшен ялкыны күренеп китте. (Молния сверкнула.)
һөнәр;N;2039;ремесло;Һөнәр иясе оста булды. (Мастер ремесла стал умелым.)
язма;V;2035;писать;Язманы тәмамладым. (Я закончил писать.)
капка;N;2029;ворота;Капканы ачтылар. (Ворота открыли.)
тырыш;ADJ;2023;усердный;Тырыш эшлә, нәтиҗә килер. (Усердно работай, результат будет.)
арча;N;2022;арча (дерево);Арча урманда үсә. (Арча растёт в лесу.)
конференция;N;2022;конференция;Конференциядә катнаштым. (Участвовал в конференции.)
җәмгыять;N;2022;общество;Җәмгыять үсеше мөһим. (Развитие общества важно.)
нечкә;ADJ;2018;тонкий;Нечкә юлны таптык. (Нашли тонкую нить.)
хәтер;N;2018;память;Хәтергә яңа вакыйгалар яздым. (Записал новые события в память.)
режиссер;N;2010;режиссёр;Режиссер фильм төшерде. (Режиссёр снял фильм.)
ашыгыч;ADJ;2008;поспешный;Ашыгыч карарлар ясама. (Не принимай поспешных решений.)
гариза;N;2008;жалоба;Гаризаны язып җибәрде. (Написал и отправил жалобу.)
бәләкәй;ADJ;2000;маленький;Бәләкәй бала уйный. (Маленький ребёнок играет.)
атаклы;ADJ;1990;известный;Атаклы шагыйрьнең әсәрләре. (Произведения известного поэта.)
кешелек;N;1985;человечество;Кешелек тарихы озын. (История человечества длинна.)
фестиваль;N;1983;фестиваль;Фестивальдә җырлар яңгырады. (На фестивале звучали песни.)
олимпия;N;1980;олимпиада;Олимпия уеннары зур чара. (Олимпийские игры — крупное событие.)
актуаль;ADJ;1976;актуальный;Актуаль мәсьәләләр турында сөйләштек. (Обсуждали актуальные вопросы.)
архитектура;N;1975;архитектура;Архитектура һәрвакыт үзгәрә. (Архитектура постоянно меняется.)
музыкаль;ADJ;1973;музыкальный;Музыкаль фестивальдә катнаштым. (Участвовал в музыкальном фестивале.)
милек;N;1968;имущество;Милекне сакларга кирәк. (Имущество нужно охранять.)
кол;N;1965;раб;Коллар иреккә чыкты. (Рабы обрели свободу.)
көнбатыш;N;1960;запад;Көнбатышта кояш бата. (На западе заходит солнце.)
төньяк;N;1956;север;Төньяктан салкын җил исә. (С севера дует холодный ветер.)
боз;N;1956;лёд;Боз өстендә шуабыз. (Катаемся на льду.)
өлгергән;ADJ;1952;успешный;Өлгергән студент диплом алды. (Успешный студент получил диплом.)
кыр;V;1951;пахать;Кырны яхшы әзерлә. (Хорошо подготовь поле к пахоте.)
аркылы;POST;1945;через;Аркылы юлны сайладык. (Выбрали путь через.)
битараф;ADJ;1941;нейтральный;Битараф карашны сакладым. (Сохранил нейтральную позицию.)
тән;N;1937;тело;Тән сәламәтлеге мөһим. (Здоровье тела важно.)
көмеш;N;1932;серебро;Көмеш бизәкләр матур. (Серебряные украшения красивы.)
компьютер;N;1927;компьютер;Компьютерда эшлим. (Работаю на компьютере.)
сан;N;1927;число;Саннарны дөрес кулланыгыз. (Используйте числа правильно.)
артист;N;1923;артист;Артист сәхнәдә осталыгын күрсәтте. (Артист показал мастерство на сцене.)
уй;N;1922;мысль;Уйларымны җыеп язам. (Собираю свои мысли и записываю.)
бушлай;ADV;1919;бесплатно;Бушлай ярдәм сорадым. (Попросил помощь бесплатно.)
мактаулы;N;1912;почётный;Мактаулы исем бирелде. (Присвоили почётное звание.)
ят;V;1903;ложиться;Ят вакыт килде. (Пришло время ложиться спать.)
гыйльми;ADJ;1900;научный;Гыйльми конференциядә катнаштым. (Я участвовал в научной конференции.)
нәфис;ADJ;1898;художественный;Нәфис әсәрләр күргәзмәсендә күрсәтелде. (Художественные произведения были представлены на выставке.)
традицион;ADJ;1895;традиционный;Традицион татар ашы тәмле. (Традиционная татарская еда вкусна.)
йогынты;N;1894;влияние;Социаль медианың йогынтысы зур. (Влияние социальных сетей велико.)
илһам;N;1894;вдохновение;Илһам чыганагын таптым. (Нашёл источник вдохновения.)
тәмәке;N;1887;табак;Тәмәке тәтүчелек сәламәтлеккә зарарлы. (Курение табака вредно для здоровья.)
